success,tokenNum,teamSize,USA,UK,othercountry,overallrating,offered_ownership,duration,priceETH,isERC,softcap,hardcap,whitepaper,video,socialMedia
0,16.36104183,2.63905733,0,0,1,2.6,0.8,45,0.0014,1,1,1,1,1,0
0,#NAME?,2.564949357,0,0,1,2.1,0.7,31,1.00E-04,0,1,1,1,1,0
1,21.52077303,2.197224577,0,0,1,2.5,0.37,5,5.00E-05,1,1,1,1,0,3
0,17.50439001,#NAME?,1,0,0,1.5,0.8,31,1.00E-05,1,1,1,1,1,0
1,17.62217305,1.945910149,0,0,1,2.1,0.5,26,0.00022,1,1,1,1,0,0
1,18.19753719,2.995732274,0,0,1,4.3,0.1,1,0.00013,NA,1,1,1,1,2
0,18.6030023,2.302585093,0,0,1,3.5,0.32,49,0.00017,1,0,0,1,1,3
1,NA,2.302585093,0,0,1,2.8,0.51,28,NA,1,0,1,1,1,0
0,16.11809565,1.386294361,0,0,1,2.5,NA,30,0.002,1,1,1,1,1,0
1,17.74733619,3.091042453,0,1,0,3.5,0.51,30,0.00014,1,0,1,1,0,3
1,NA,2.708050201,1,0,0,3.9,NA,30,0.002,NA,1,1,1,1,2
1,15.60727003,1.945910149,0,0,1,3.3,0.6,30,0.01,1,1,1,1,1,0
0,#NAME?,2.564949357,0,0,1,2,0.8,29,0.00125,1,1,1,1,0,0
0,#NAME?,1.945910149,1,0,0,2.1,0.55,30,0.00056,1,0,1,1,0,3
1,17.21670794,2.48490665,0,0,1,2.3,0.3,28,0.0105,1,0,1,1,1,0
0,#NAME?,1.386294361,0,1,0,1.9,0.8,28,0.001,1,1,0,1,0,0
0,18.42068074,1.098612289,0,0,1,1.8,NA,31,0.00112,1,0,0,1,1,0
1,17.21670784,1.791759469,0,0,1,2.5,0.3,31,0.0014,NA,0,1,1,1,0
0,18.31532023,2.833213344,0,0,1,3.6,0.45,46,0.00033,1,1,1,1,1,0
0,#NAME?,2.302585093,0,0,1,3.4,0.6,50,0.003,1,0,0,1,1,0
0,17.21670794,2.079441542,1,0,0,2.3,0.3,92,0.001,1,0,1,1,1,0
0,#NAME?,2.079441542,0,0,1,2.8,0.8,84,2.00E-05,1,1,1,1,0,0
1,19.0492894,2.63905733,1,0,0,2.9,0.75,4,0.00014,1,1,1,1,1,3
1,NA,2.708050201,0,0,1,3.2,NA,21,NA,NA,0,0,1,1,0
1,NA,2.397895273,0,0,1,2.6,0.33,134,0.00044,1,0,1,1,0,0
0,18.42068074,2.397895273,0,0,1,1.8,0.5,75,0.03125,1,0,0,1,1,0
0,#NAME?,1.386294361,0,0,1,1.5,0.8,32,NA,NA,0,1,1,0,0
0,19.80697511,0,0,0,1,1.3,0.4,28,0.0014,NA,1,1,1,0,0
0,#NAME?,#NAME?,1,0,0,2.1,NA,41,0.0014,1,0,0,1,0,0
1,NA,2.564949357,1,0,0,3.3,NA,1,0.0059,NA,0,0,1,1,3
1,NA,2.772588722,0,0,1,3.1,NA,116,0.0014,1,0,0,1,1,0
1,14.91412285,2.197224577,0,0,1,2.8,0.2,32,NA,1,0,1,1,1,0
0,18.77818035,3.135494216,1,0,0,3.6,0.33,17,0.00084,1,1,1,1,0,3
0,19.11382792,2.197224577,1,0,0,3.9,0.4,89,8.00E-04,1,0,1,1,1,0
0,17.59970019,#NAME?,1,0,0,1.4,NA,27,0.00028,1,0,0,1,0,0
1,16.99356439,2.397895273,0,0,1,3.2,0.78,30,0.00126,1,1,1,1,1,0
1,18.62280493,2.772588722,0,0,1,3,0.68,28,0.00033,1,0,0,1,1,0
1,0,2.302585093,0,0,1,4.3,0.72,91,4.00E-05,1,1,1,1,1,0
0,19.13363055,3.044522438,0,0,1,4.1,0.34,7,NA,1,0,1,1,1,0
1,NA,2.708050201,0,0,1,2.9,NA,14,0.001,1,1,1,1,1,0
0,16.860033,1.386294361,0,0,1,2.1,NA,45,NA,NA,1,1,1,0,0
0,2.995732274,#NAME?,0,0,1,1.9,NA,44,7.00E-04,1,0,0,1,0,0
0,#NAME?,2.302585093,0,0,1,3,0.8,27,2.00E-04,1,0,1,1,1,0
0,#NAME?,#NAME?,0,0,1,1.8,NA,28,2.00E-05,1,0,0,1,0,0
0,18.74998449,1.791759469,0,0,1,2.4,NA,45,1.00E-04,1,0,0,1,1,0
0,16.81124283,1.791759469,0,0,1,2.9,NA,31,0.00014,1,0,1,1,1,0
1,NA,0,0,0,1,1.3,NA,21,NA,NA,1,1,1,0,0
0,16.52356076,1.791759469,0,0,1,2.4,0.62,22,0.0014,NA,0,1,1,1,0
1,19.18614859,#NAME?,0,0,1,1.9,0.72,97,6.00E-05,0,0,0,1,1,0
1,19.67344371,2.63905733,0,0,1,3.3,0.35,28,2.00E-05,1,1,1,1,1,2
0,16.81124283,2.197224577,0,0,1,3.8,0.33,31,NA,1,1,1,1,1,0
0,19.07300593,2.772588722,0,0,1,2.8,0.96,48,0.00125,NA,1,0,1,0,0
1,14.50865774,#NAME?,0,0,1,2.1,NA,1,NA,NA,0,0,1,0,3
1,19.88738952,2.708050201,1,0,0,2.6,0.55,31,NA,1,0,1,1,1,3
1,20.72326584,2.48490665,1,0,0,2.8,NA,0,0.00016,1,0,0,1,1,3
1,NA,1.945910149,1,0,0,2,0.64,124,3.00E-05,1,0,0,1,0,0
0,19.7104642,2.708050201,0,0,1,3,0.8,44,1.00E-04,1,1,1,1,1,0
1,21.82187813,2.833213344,0,0,1,3.1,0.59,16,1.00E-05,NA,1,1,1,1,0
1,16.860033,2.564949357,0,0,1,4.5,0.7,77,0.00071,NA,1,1,1,1,0
1,17.90985512,1.386294361,1,0,0,2.3,NA,31,0.001,NA,0,1,1,0,0
0,16.11809565,1.791759469,0,0,1,2.1,0.5,171,0.0014,NA,0,1,1,0,0
1,20.03011866,2.564949357,0,0,1,4.2,NA,31,7.00E-05,1,1,1,1,1,3
0,17.98989783,1.945910149,1,0,0,2.4,0.65,30,0.001,1,0,1,1,1,0
1,19.00846741,2.079441542,0,0,1,2.5,0.5,48,3000,1,1,1,1,1,0
1,5.220355825,2.197224577,0,0,1,2.6,0.74,29,0.001,1,1,0,1,1,0
1,20.36659089,3.044522438,0,0,1,4.4,0.7,28,0.00125,1,0,1,1,1,3
0,15.60727003,#NAME?,1,0,0,1.1,NA,27,4.00E-04,0,0,0,1,0,0
1,20.43558376,2.397895273,0,0,1,4.1,0.5,28,5.00E-05,1,1,1,1,1,0
1,NA,2.079441542,0,0,1,3,NA,13,NA,NA,0,0,1,0,2
0,6.907755279,1.386294361,0,0,1,2.1,NA,21,1.4,1,0,1,1,0,0
1,16.11809565,3.044522438,0,0,1,4.3,0.2,12,0.0014,1,1,1,1,1,0
0,13.59236701,1.098612289,0,0,1,1.9,NA,14,0.04,1,1,1,1,1,0
0,17.72753356,2.197224577,0,0,1,2.9,NA,30,0.00174,1,0,1,1,1,0
